Trial 164 5-Bit QAT Model Prune Iter: 0, Test Mean Dist: 0.279821515083313, Val Mean Dist: 0.2762105166912079, Val Loss: 0.0005106637223174662, Sparsities: (tensor(0., device='cuda:4'), tensor(0., device='cuda:4'), tensor(0., device='cuda:4'), tensor(0., device='cuda:4'), tensor(0., device='cuda:4'), tensor(0., device='cuda:4'), tensor(0., device='cuda:4'), tensor(0., device='cuda:4'), tensor(0., device='cuda:4'), tensor(0., device='cuda:4'), tensor(0., device='cuda:4'))
Trial 164 7-Bit QAT Model Prune Iter: 0, Test Mean Dist: 0.21049463748931885, Val Mean Dist: 0.21128734946250916, Val Loss: 0.00039823914162947664, Sparsities: (tensor(0., device='cuda:3'), tensor(0., device='cuda:3'), tensor(0., device='cuda:3'), tensor(0., device='cuda:3'), tensor(0., device='cuda:3'), tensor(0., device='cuda:3'), tensor(0., device='cuda:3'), tensor(0., device='cuda:3'), tensor(0., device='cuda:3'), tensor(0., device='cuda:3'), tensor(0., device='cuda:3'))
Trial 164 8-Bit QAT Model Prune Iter: 0, Test Mean Dist: 0.20615828037261963, Val Mean Dist: 0.20644928514957428, Val Loss: 0.000391575887208871, Sparsities: (tensor(0., device='cuda:3'), tensor(0., device='cuda:3'), tensor(0., device='cuda:3'), tensor(0., device='cuda:3'), tensor(0., device='cuda:3'), tensor(0., device='cuda:3'), tensor(0., device='cuda:3'), tensor(0., device='cuda:3'), tensor(0., device='cuda:3'), tensor(0., device='cuda:3'), tensor(0., device='cuda:3'))
Trial 164 6-Bit QAT Model Prune Iter: 0, Test Mean Dist: 0.22572201490402222, Val Mean Dist: 0.22504861652851105, Val Loss: 0.00041283638815262487, Sparsities: (tensor(0., device='cuda:4'), tensor(0., device='cuda:4'), tensor(0., device='cuda:4'), tensor(0., device='cuda:4'), tensor(0., device='cuda:4'), tensor(0., device='cuda:4'), tensor(0., device='cuda:4'), tensor(0., device='cuda:4'), tensor(0., device='cuda:4'), tensor(0., device='cuda:4'), tensor(0., device='cuda:4'))
Trial 164 5-Bit QAT Model Prune Iter: 1, Test Mean Dist: 0.2406720668077469, Val Mean Dist: 0.24041952192783356, Val Loss: 0.0004467237522476353, Sparsities: (tensor(0.0243, device='cuda:4'), tensor(0.5156, device='cuda:4'), tensor(0.5078, device='cuda:4'), tensor(0.0469, device='cuda:4'), tensor(0.0217, device='cuda:4'), tensor(0.0356, device='cuda:4'), tensor(0.2689, device='cuda:4'), tensor(0.2582, device='cuda:4'), tensor(0., device='cuda:4'), tensor(0., device='cuda:4'), tensor(0., device='cuda:4'))
Trial 164 7-Bit QAT Model Prune Iter: 1, Test Mean Dist: 0.21884584426879883, Val Mean Dist: 0.22034038603305817, Val Loss: 0.0004086443327001429, Sparsities: (tensor(0.0556, device='cuda:3'), tensor(0.5234, device='cuda:3'), tensor(0.5078, device='cuda:3'), tensor(0.0078, device='cuda:3'), tensor(0.0113, device='cuda:3'), tensor(0.0165, device='cuda:3'), tensor(0.2862, device='cuda:3'), tensor(0.2511, device='cuda:3'), tensor(0.1250, device='cuda:3'), tensor(0., device='cuda:3'), tensor(0., device='cuda:3'))
Trial 164 8-Bit QAT Model Prune Iter: 1, Test Mean Dist: 0.25309497117996216, Val Mean Dist: 0.25013041496276855, Val Loss: 0.00047767686607715277, Sparsities: (tensor(0.1076, device='cuda:3'), tensor(0.5391, device='cuda:3'), tensor(0.5000, device='cuda:3'), tensor(0.0078, device='cuda:3'), tensor(0.0130, device='cuda:3'), tensor(0.0187, device='cuda:3'), tensor(0.2949, device='cuda:3'), tensor(0.2383, device='cuda:3'), tensor(0., device='cuda:3'), tensor(0., device='cuda:3'), tensor(0., device='cuda:3'))
Trial 164 6-Bit QAT Model Prune Iter: 1, Test Mean Dist: 0.24173560738563538, Val Mean Dist: 0.24143405258655548, Val Loss: 0.00044843840545841625, Sparsities: (tensor(0.0139, device='cuda:4'), tensor(0.0469, device='cuda:4'), tensor(0.0156, device='cuda:4'), tensor(0.0234, device='cuda:4'), tensor(0.0217, device='cuda:4'), tensor(0.0187, device='cuda:4'), tensor(0.2875, device='cuda:4'), tensor(0.2756, device='cuda:4'), tensor(0.0312, device='cuda:4'), tensor(0.0625, device='cuda:4'), tensor(0., device='cuda:4'))
Trial 164 7-Bit QAT Model Prune Iter: 2, Test Mean Dist: 0.23712921142578125, Val Mean Dist: 0.23650012910366058, Val Loss: 0.0004335363326910218, Sparsities: (tensor(0.1181, device='cuda:3'), tensor(0.5703, device='cuda:3'), tensor(0.5156, device='cuda:3'), tensor(0.0391, device='cuda:3'), tensor(0.0217, device='cuda:3'), tensor(0.0326, device='cuda:3'), tensor(0.5154, device='cuda:3'), tensor(0.4701, device='cuda:3'), tensor(0.1562, device='cuda:3'), tensor(0., device='cuda:3'), tensor(0., device='cuda:3'))
Trial 164 5-Bit QAT Model Prune Iter: 2, Test Mean Dist: 0.2531543970108032, Val Mean Dist: 0.25658318400382996, Val Loss: 0.0005127725016791373, Sparsities: (tensor(0.0590, device='cuda:4'), tensor(0.5547, device='cuda:4'), tensor(0.5078, device='cuda:4'), tensor(0.0703, device='cuda:4'), tensor(0.0443, device='cuda:4'), tensor(0.0720, device='cuda:4'), tensor(0.4668, device='cuda:4'), tensor(0.4970, device='cuda:4'), tensor(0.0312, device='cuda:4'), tensor(0., device='cuda:4'), tensor(0.3750, device='cuda:4'))
Trial 164 8-Bit QAT Model Prune Iter: 2, Test Mean Dist: 0.2037074863910675, Val Mean Dist: 0.20403018593788147, Val Loss: 0.00038892422162462026, Sparsities: (tensor(0.2986, device='cuda:3'), tensor(0.6641, device='cuda:3'), tensor(0.5000, device='cuda:3'), tensor(0.0312, device='cuda:3'), tensor(0.0243, device='cuda:3'), tensor(0.0299, device='cuda:3'), tensor(0.5148, device='cuda:3'), tensor(0.4592, device='cuda:3'), tensor(0., device='cuda:3'), tensor(0., device='cuda:3'), tensor(0., device='cuda:3'))
